what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351109740450
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351109747184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351109748582
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351109749299
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351109751166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351109755165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351109776645
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351109800328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1351109804335
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1351109814839
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1351109822195
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1351109829039
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1351109834640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351109836627
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351109840428
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351109842711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351109848836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351109901322
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351109908393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351109910967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351109915130
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351109993410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351109994605
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351109995394
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351109998206
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351110012972
